province_slug,primary_url,secondary_url,primary_format,secondary_format,primary_parser_key,secondary_parser_key,primary_source_name,secondary_source_name,poll_cron
adana,https://www.adanaeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
adiyaman,https://www.adiyamaneo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
afyonkarahisar,https://www.afyoneczaciodasi.org.tr/,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
agri,https://www.agrieo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
aksaray,https://www.aksarayeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
amasya,https://www.amasyaeo.org.tr/nobet-listesi/,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
ankara,https://www.aeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
antalya,https://www.antalyaeo.org.tr/tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
ardahan,https://www.erzurumeo.org.tr/nobetci-eczaneler/75,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
artvin,https://www.trabzoneczaciodasi.org.tr/nobetci-eczaneler/8,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
aydin,https://www.aydineczaciodasi.org.tr/nobetci-4,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
balikesir,https://www.balikesireczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
bartin,https://www.zeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
batman,https://www.batmaneczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
bayburt,https://www.erzurumeo.org.tr/nobetci-eczaneler/69,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
bilecik,https://www.eskisehireo.org.tr/bilecik-nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
bingol,https://www.elazigeczaciodasi.org.tr/nobetci-eczaneler/bingol,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
bitlis,https://www.vaneczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
bolu,https://seobit.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
burdur,https://www.burdureo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
bursa,https://www.beo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
canakkale,https://www.canakkaleeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
cankiri,https://www.kastamonueo.org.tr/nobetci-eczaneler/18,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
corum,https://www.corumeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
denizli,https://denizlieczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
diyarbakir,https://www.diyarbakireo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
duzce,https://www.duzceeo.org/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
edirne,https://www.edirneeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
elazig,https://www.elazigeczaciodasi.org.tr/nobetci-eczaneler/elazig,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
erzincan,https://erzincaneo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
erzurum,https://www.erzurumeo.org.tr/nobetci-eczaneler/25,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
eskisehir,https://www.eskisehireo.org.tr/eskisehir-nobetci-eczaneler/,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
gaziantep,https://gaziantepeczaciodasi.com.gaziantepeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
giresun,https://www.giresuneczaciodasi.org.tr/nobetci-eczane.php,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
gumushane,https://www.trabzoneczaciodasi.org.tr/nobetci-eczaneler/29,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
hakkari,https://www.vaneczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
hatay,https://www.hatayeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
igdir,https://www.erzurumeo.org.tr/nobetci-eczaneler/76,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
isparta,https://www.ispartaeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
istanbul,https://www.istanbuleczaciodasi.org.tr/nobetci-eczane/,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
izmir,https://www.izmireczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kahramanmaras,https://www.kahramanmaraseo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
karabuk,https://www.kastamonueo.org.tr/nobetci-eczaneler/78,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
karaman,https://www.karamaneo.org.tr/nobet-listesi,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kars,https://www.erzurumeo.org.tr/nobetci-eczaneler/36,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kastamonu,https://www.kastamonueo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kayseri,https://www.kayserieo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kirikkale,https://www.aeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kirklareli,https://www.kirklarelieo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kirsehir,https://www.aksarayeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kilis,https://gaziantepeczaciodasi.com.gaziantepeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kocaeli,https://www.kocaelieo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
konya,https://keo.org.tr/kategori/nobetle-ilgili-462077/,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
kutahya,https://www.kutahyaeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
malatya,https://www.malatyaeczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
manisa,https://www.manisaeczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
mardin,https://www.mardineczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
mersin,https://www.mersineczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
mugla,https://www.muglaeczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
mus,https://www.batmaneczaciodasi.org.tr/nobetci-eczaneler/49,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
nevsehir,https://www.nevsehireo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
nigde,https://www.neo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
ordu,https://ordueczaciodasi.org.tr/nobetci-eczaneler/,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
osmaniye,https://www.osmaniyeeczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
rize,https://www.trabzoneczaciodasi.org.tr/nobetci-eczaneler/53,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
sakarya,https://www.seo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
samsun,https://www.samsuneczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
siirt,https://siirteo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
sinop,https://www.samsuneczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
sivas,https://www.sivaseo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
sanliurfa,https://www.sanliurfaeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
sirnak,https://sirnakeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
tekirdag,https://www.teo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
tokat,https://www.tokateo.org/nobetcieczane.aspx,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
trabzon,https://www.trabzoneczaciodasi.org.tr/nobetci-eczaneler/61,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
tunceli,https://www.elazigeczaciodasi.org.tr/nobetci-eczaneler/tunceli,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
usak,https://usakeczaciodasi.org.tr/usak-nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
van,https://www.vaneczaciodasi.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
yalova,https://www.istanbuleczaciodasi.org.tr/nobetci-eczane/,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
yozgat,https://www.yozgateo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
zonguldak,https://www.zeo.org.tr/nobetci-eczaneler,https://www.turkiye.gov.tr/saglik-titck-nobetci-eczane-sorgulama,,,,,,,0 * * * *
